33,5000,R,0.28,550.2
38,5000,Julia,0.77,851.66
38,5000,R,0.28,570.3
43,5000,Julia,0.77,872.3
43,5000,R,0.28,570.09
39,5000,Julia,0.77,874.14
39,5000,R,0.28,570.23
34,5000,Julia,0.77,873.92
34,5000,R,0.28,570.4
13,5000,Julia,0.78,863.23
13,5000,R,0.27,559.74
41,5000,Julia,0.77,872.63
41,5000,R,0.28,513.58
44,5000,Julia,0.78,876.4
44,5000,R,0.28,570.21
14,5000,Julia,0.78,854.73
14,5000,R,0.27,570.12
37,5000,Julia,0.78,873.28
37,5000,R,0.28,564.5
49,5000,Julia,0.8,829.69
49,5000,R,0.31,553.8

35,5000,Julia,0.78,868.61
35,5000,R,0.28,547.57
32,5000,Julia,0.78,871.59
32,5000,R,0.28,550.17
42,5000,Julia,0.78,864.91
42,5000,R,0.28,548.14
36,5000,Julia,0.78,863.12
36,5000,R,0.28,570.34
30,5000,Julia,0.79,867.36
30,5000,R,0.29,568.84
11,5000,Julia,0.84,846.16
11,5000,R,0.29,570.5
10,5000,Julia,0.85,855.64
10,5000,R,0.29,563.48
12,5000,Julia,0.87,833.43
12,5000,R,0.29,569.54
64,5000,Julia,0.87,822.43
64,5000,R,0.33,569.71
47,5000,Julia,0.88,836.43
47,5000,R,0.33,569.96
62,5000,Julia,0.89,798.85
62,5000,R,0.34,569.92
57,5000,Julia,0.9,862.62
57,5000,R,0.33,570.34
65,5000,Julia,0.89,836.72
65,5000,R,0.34,566.79
59,5000,Julia,0.9,821.18
59,5000,R,0.33,567.45
63,5000,Julia,0.89,862.04
63,5000,R,0.34,569.75
58,5000,Julia,0.9,828.51
58,5000,R,0.34,569.72
67,5000,Julia,0.9,839.53
67,5000,R,0.34,570.23
69,5000,Julia,0.91,796.68
69,5000,R,0.34,561.91
7,5000,Julia,0.92,817.9
7,5000,R,0.32,569.55
68,5000,Julia,0.91,861.81
68,5000,R,0.34,569.29
16,5000,Julia,0.9,875.55
16,5000,R,0.31,557.86
56,5000,Julia,0.93,828.54
56,5000,R,0.36,570.3
61,5000,Julia,0.93,796.48
61,5000,R,0.36,570.26
60,5000,Julia,0.93,863.31
60,5000,R,0.36,569.75
66,5000,Julia,0.93,825.27
66,5000,R,0.35,563.2
15,5000,Julia,0.94,871.66
15,5000,R,0.32,569.68
46,5000,Julia,0.98,838.88
46,5000,R,0.38,568.85
9,5000,Julia,0.98,847.41
9,5000,R,0.36,570.25
48,5000,Julia,1.0,799.84
48,5000,R,0.36,570.1
8,5000,Julia,1.05,841.07
8,5000,R,0.38,554.56
51,5000,Julia,1.13,835.97
51,5000,R,0.41,569.81
52,5000,Julia,1.13,844.25
52,5000,R,0.41,569.96
50,5000,Julia,1.14,835.22
50,5000,R,0.42,571.93
53,5000,Julia,1.15,840.83
53,5000,R,0.42,572.15
54,5000,Julia,1.16,826.83
54,5000,R,0.43,569.81
55,5000,Julia,1.16,834.21
55,5000,R,0.43,569.21
5,50000,Julia,1.11,1159.11
5,50000,R,1.47,876.01
6,50000,Julia,1.13,1090.16
6,50000,R,1.52,874.77
2,50000,Julia,1.21,1136.06
2,50000,R,1.56,858.67
4,50000,Julia,1.23,1133.68
4,50000,R,1.58,875.53
3,50000,Julia,1.17,1149.8
3,50000,R,1.62,875.2
22,50000,Julia,1.23,1134.54
22,50000,R,1.59,875.18
24,50000,Julia,1.24,1133.81
24,50000,R,1.6,837.45
21,50000,Julia,1.23,1132.9
21,50000,R,1.61,855.57
23,50000,Julia,1.23,1142.43
23,50000,R,1.61,855.65
25,50000,Julia,1.24,1153.8
25,50000,R,1.62,894.45
20,50000,Julia,1.27,1147.42
20,50000,R,1.63,875.83
17,50000,Julia,1.28,1131.11
17,50000,R,1.64,876.2
19,50000,Julia,1.27,1127.91
19,50000,R,1.66,895.12
18,50000,Julia,1.28,1133.28
18,50000,R,1.67,856.06
26,50000,Julia,1.33,1140.01
26,50000,R,1.68,836.54
1,50000,Julia,1.32,1116.12
1,50000,R,1.7,875.4
28,50000,Julia,1.33,1142.84
28,50000,R,1.73,876.82
27,50000,Julia,1.36,1140.35
27,50000,R,1.74,856.0
29,50000,Julia,1.38,1133.43
29,50000,R,1.79,855.02
13,50000,Julia,1.41,1078.55
13,50000,R,1.8,875.23
14,50000,Julia,1.45,1145.19
14,50000,R,1.79,938.39
31,50000,Julia,1.38,1093.82
31,50000,R,1.83,857.92
33,50000,Julia,1.38,1143.1
33,50000,R,1.84,855.57
43,50000,Julia,1.39,1130.77
43,50000,R,1.84,857.51
39,50000,Julia,1.41,1122.74
39,50000,R,1.86,885.1
45,50000,Julia,1.41,1090.75
45,50000,R,1.87,855.34
35,50000,Julia,1.4,1138.38
35,50000,R,1.86,859.51
40,50000,Julia,1.42,1164.77
40,50000,R,1.87,914.26
34,50000,Julia,1.41,1118.71
34,50000,R,1.88,855.79
44,50000,Julia,1.4,1226.07
44,50000,R,1.88,858.48
37,50000,Julia,1.44,1215.51
37,50000,R,1.88,856.34
42,50000,Julia,1.41,1093.4
42,50000,R,1.87,877.48
32,50000,Julia,1.42,1094.43
32,50000,R,1.89,855.4
41,50000,Julia,1.45,1197.67
41,50000,R,1.9,858.62
38,50000,Julia,1.43,1135.5
38,50000,R,1.91,876.05
36,50000,Julia,1.43,1129.54
36,50000,R,1.9,876.79
30,50000,Julia,1.46,1139.9
30,50000,R,1.92,915.43
11,50000,Julia,1.53,1142.24
11,50000,R,1.86,919.46
49,50000,Julia,1.41,1130.4
49,50000,R,2.01,877.32
12,50000,Julia,1.49,1136.78
12,50000,R,1.87,875.14
10,50000,Julia,1.49,1144.34
10,50000,R,1.88,834.25
64,50000,Julia,1.57,1171.75
64,50000,R,2.14,895.4
47,50000,Julia,1.56,1190.03
47,50000,R,2.17,855.32
16,50000,Julia,1.61,1171.14
16,50000,R,2.09,915.31
7,50000,Julia,1.6,1079.34
7,50000,R,2.16,875.45
62,50000,Julia,1.57,1152.83
62,50000,R,2.19,875.24
65,50000,Julia,1.59,1201.64
65,50000,R,2.19,879.48
63,50000,Julia,1.58,1134.48
63,50000,R,2.22,853.68
57,50000,Julia,1.65,1052.44
57,50000,R,2.24,857.41
15,50000,Julia,1.66,1099.39
15,50000,R,2.15,876.43
59,50000,Julia,1.64,1092.86
59,50000,R,2.27,875.44
67,50000,Julia,1.63,1102.13
67,50000,R,2.24,857.91
69,50000,Julia,1.62,1142.76
69,50000,R,2.24,875.5
68,50000,Julia,1.63,1149.88
68,50000,R,2.26,855.75
58,50000,Julia,1.65,1055.64
58,50000,R,2.3,888.9
66,50000,Julia,1.66,1146.34
66,50000,R,2.3,855.77
61,50000,Julia,1.67,1178.05
61,50000,R,2.36,855.94
56,50000,Julia,1.67,1089.64
56,50000,R,2.37,888.4
60,50000,Julia,1.68,1098.79
60,50000,R,2.39,875.58
9,50000,Julia,1.74,1187.49
9,50000,R,2.35,865.84
48,50000,Julia,1.79,1097.02
48,50000,R,2.38,855.67
46,50000,Julia,1.71,1140.25
46,50000,R,2.47,872.5
8,50000,Julia,1.85,1162.95
8,50000,R,2.48,876.0
51,50000,Julia,1.96,1111.31
51,50000,R,2.62,846.47
52,50000,Julia,1.98,1119.52
52,50000,R,2.62,835.76
50,50000,Julia,1.95,1138.15
50,50000,R,2.66,852.29
53,50000,Julia,2.0,1152.51
53,50000,R,2.65,856.96
55,50000,Julia,2.0,1162.98
55,50000,R,2.68,875.47
54,50000,Julia,1.99,1115.71
54,50000,R,2.72,869.33
2,500000,Julia,13.9,3754.55
2,500000,R,15.45,4195.82
4,500000,Julia,13.98,3851.66
4,500000,R,15.46,4183.5
5,500000,Julia,16.16,3816.54
5,500000,R,15.75,4185.32
17,500000,Julia,13.93,3942.32
17,500000,R,15.98,4169.34
22,500000,Julia,13.98,3727.05
22,500000,R,16.08,4165.95
21,500000,Julia,14.04,3301.93
21,500000,R,16.11,4210.8
19,500000,Julia,13.99,3906.02
19,500000,R,16.07,4665.47
20,500000,Julia,13.95,3874.21
20,500000,R,16.23,4171.75
18,500000,Julia,13.97,3789.77
18,500000,R,16.14,4229.06
23,500000,Julia,14.02,3876.27
23,500000,R,16.26,4196.18
6,500000,Julia,15.63,3057.05
6,500000,R,16.61,4182.46
3,500000,Julia,16.64,3869.15
3,500000,R,16.64,4171.45
1,500000,Julia,15.3,3744.14
1,500000,R,16.92,4174.02
26,500000,Julia,14.62,3359.31
26,500000,R,17.07,4163.0
25,500000,Julia,17.19,2893.49
25,500000,R,17.27,4187.75
24,500000,Julia,17.14,3037.82
24,500000,R,17.45,4392.65
27,500000,Julia,15.37,4254.1
27,500000,R,17.34,4409.99
13,500000,Julia,15.69,3281.17
13,500000,R,17.31,4162.88
14,500000,Julia,15.8,3488.86
14,500000,R,17.42,4222.14
29,500000,Julia,15.52,3345.19
29,500000,R,18.42,4159.2
28,500000,Julia,18.78,3254.38
28,500000,R,18.84,4128.88
11,500000,Julia,19.02,2886.45
11,500000,R,18.21,4437.28
12,500000,Julia,19.02,2866.78
12,500000,R,18.15,4169.04
10,500000,Julia,19.06,2909.95
10,500000,R,18.38,4544.8
49,500000,Julia,16.01,3122.22
49,500000,R,20.35,4192.32
64,500000,Julia,17.63,3101.1
64,500000,R,20.24,4402.25
18,5000000,Julia,3.96,14818.98
18,5000000,R,3.96,7127.04
3,5000000,Julia,3.6,14813.66
3,5000000,R,3.59,7136.11
19,5000000,Julia,4.17,14526.41
19,5000000,R,4.18,7420.79
47,500000,Julia,16.32,2812.93
47,500000,R,20.8,4128.73
16,500000,Julia,19.66,3918.22
16,500000,R,20.88,4381.14
21,5000000,Julia,4.58,14731.82
21,5000000,R,4.58,7212.43
62,500000,Julia,17.66,3256.0
62,500000,R,20.99,4380.06
7,500000,Julia,18.63,3830.29
7,500000,R,21.04,4368.72
63,500000,Julia,17.71,3859.11
63,500000,R,21.03,4207.27
65,500000,Julia,17.66,3297.63
65,500000,R,21.13,4186.94
72,500,Julia,0.62,842.89
72,500,R,0.08,383.8
23,5000000,Julia,4.72,14473.12
23,5000000,R,4.71,7473.84
71,500,Julia,0.87,824.2
71,500,R,0.12,379.16
70,500,Julia,0.88,832.48
70,500,R,0.12,377.32
35,500000,Julia,17.42,3468.22
35,500000,R,21.92,4174.28
15,500000,Julia,19.64,3389.3
15,500000,R,21.26,4146.19
40,500000,Julia,18.52,2880.0
40,500000,R,22.01,4380.07
31,500000,Julia,18.58,3730.41
31,500000,R,22.24,4383.62
43,500000,Julia,18.76,3074.45
43,500000,R,22.27,4172.11
45,500000,Julia,20.54,3033.61
45,500000,R,22.34,4357.86
57,500000,Julia,18.03,3008.33
57,500000,R,21.76,4196.69
59,500000,Julia,18.0,3091.46
59,500000,R,21.75,4153.49
72,5000,Julia,0.68,861.58
72,5000,R,0.23,553.96
37,500000,Julia,18.62,2852.11
37,500000,R,22.47,4131.82
9,500000,Julia,18.97,2982.65
